train/explained_variance,train/approx_kl,time/total_timesteps,time/fps,train/value_loss,rollout/ep_len_mean,train/std,train/learning_rate,time/time_elapsed,train/clip_range,train/n_updates,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/loss,train/policy_gradient_loss,time/iterations,eval/mean_ep_length,eval/mean_reward
0.9822255969047546,0.018117836,27525120,7228,0.012396181374788285,372.98,1.961723804473877,0.0003,3807,0.2,8390,0.1540191650390625,4739.19929212,-32.84611625671387,-0.19634707272052765,-0.019393132539698855,840,,
0.9812626838684082,0.017775416,27852800,7230,0.012376482179388405,359.37,1.9973403215408325,0.0003,3852,0.2,8490,0.15360107421875,4473.08926897,-33.121590805053714,-0.19810271263122559,-0.02022902964381501,850,,
0.983368456363678,0.016826686,28000000,,0.010862563597038388,,2.0092597007751465,0.0003,,0.2,8540,0.15181884765625,,-33.20168972015381,-0.1986411064863205,-0.01969638393493369,,336.6,4450.612484333478
0.9822229146957397,0.017207533,28180480,7229,0.012591136666014791,367.63,2.0229949951171875,0.0003,3897,0.2,8590,0.143951416015625,4705.565558959999,-33.30126399993897,-0.1974160075187683,-0.019636443577473982,860,,
0.9846292734146118,0.019004185,28508160,7230,0.01025193757377565,361.82,2.0500571727752686,0.0003,3942,0.2,8690,0.1576416015625,4639.169519890001,-33.45931873321533,-0.20087170600891113,-0.02060422010254115,870,,
0.9828578233718872,0.01691171,28835840,7232,0.011267355550080538,382.47,2.0744361877441406,0.0003,3987,0.2,8790,0.1526702880859375,4926.996908040001,-33.63622188568115,-0.200801283121109,-0.019995865999953823,880,,
0.983940839767456,0.017333295,29000000,,0.010753381345421077,,2.0956833362579346,0.0003,,0.2,8850,0.1587493896484375,,-33.768595123291014,-0.20126093924045563,-0.020017204328905792,,387.4,4603.593987359107
0.9845438599586487,0.015304524,29163520,7231,0.010375062050297857,359.69,2.1024839878082275,0.0003,4032,0.2,8890,0.143072509765625,4659.5817603,-33.83897743225098,-0.20050908625125885,-0.018605098663829266,890,,
0.9791759848594666,0.01898979,29491200,7232,0.01305648502893746,365.85,2.1327929496765137,0.0003,4077,0.2,8990,0.156439208984375,4638.0600871199995,-34.06544418334961,-0.2042808085680008,-0.020491265499731525,900,,
0.9807130694389343,0.017770976,29818880,7234,0.013369664968922734,343.91,2.1677587032318115,0.0003,4121,0.2,9090,0.155450439453125,4326.929161010001,-34.25501594543457,-0.2032976597547531,-0.019704060404910705,910,,
0.9815186858177185,0.017347744,30000000,,0.012995204189792275,,2.188114643096924,0.0003,,0.2,9150,0.1530517578125,,-34.401608276367185,-0.2051512897014618,-0.020264921768102795,,406.2,5423.543080359697
0.9754352569580078,0.018128488,30146560,7233,0.01694756424985826,362.29,2.197432041168213,0.0003,4167,0.2,9190,0.155462646484375,4701.03914513,-34.46844844818115,-0.20195037126541138,-0.01929355936590582,920,,
0.9810985326766968,0.01797387,30474240,7234,0.013560682442039252,367.21,2.2335968017578125,0.0003,4212,0.2,9290,0.1657501220703125,4619.52121833,-34.6795747756958,-0.20482444763183594,-0.019641845126170666,930,,
0.9814483523368835,0.018678594,30801920,7235,0.012468464113771916,357.36,2.2627346515655518,0.0003,4256,0.2,9390,0.1548065185546875,4644.88742594,-34.86937923431397,-0.2073729783296585,-0.020178570016287267,940,,
0.9780920147895813,0.018121213,31000000,,0.015551357669755817,,2.281545400619507,0.0003,,0.2,9460,0.159808349609375,,-35.00630760192871,-0.20697563886642456,-0.020331405679462476,,377.6,5087.218893504143
0.9834447503089905,0.017271493,31129600,7235,0.011591497203335166,357.3,2.290436267852783,0.0003,4302,0.2,9490,0.1444427490234375,4580.08365378,-35.05078983306885,-0.20953717827796936,-0.02038711204077117,950,,
0.9785599708557129,0.018320246,31457280,7236,0.016358704026788472,355.78,2.328075885772705,0.0003,4347,0.2,9590,0.1577545166015625,4606.41820146,-35.294534301757814,-0.20958027243614197,-0.020650431420654057,960,,
0.9804977774620056,0.018801183,31784960,7236,0.012991555593907833,363.66,2.3562874794006348,0.0003,4392,0.2,9690,0.1520263671875,4681.797657339999,-35.47874908447265,-0.21017393469810486,-0.020203720941208304,970,,
0.9812856912612915,0.017243747,32000000,,0.013575478596612811,,2.383829355239868,0.0003,,0.2,9760,0.1436798095703125,,-35.636482048034665,-0.21034348011016846,-0.01942282011732459,,381.0,4834.533176622912
0.9826635122299194,0.018085113,32112640,7236,0.010936135798692704,376.68,2.392380714416504,0.0003,4437,0.2,9790,0.1469635009765625,4777.22848427,-35.69668979644776,-0.2147349864244461,-0.020799565460765734,980,,
0.975159227848053,0.018949928,32440320,7236,0.016133783990517257,344.51,2.4253363609313965,0.0003,4482,0.2,9890,0.1601226806640625,4355.3190052,-35.865990447998044,-0.21261177957057953,-0.02067083464935422,990,,
0.9803540706634521,0.017659022,32768000,7237,0.013201877893880009,372.43,2.4570744037628174,0.0003,4527,0.2,9990,0.1534393310546875,4684.03363058,-36.011841773986816,-0.21252433955669403,-0.01993332866113633,1000,,
0.9844201803207397,0.016885985,33000000,,0.009909542789682747,,2.476144790649414,0.0003,,0.2,10070,0.1496490478515625,,-36.111362075805665,-0.21490612626075745,-0.02020913315936923,,404.2,5378.749029324948
0.9873695969581604,0.017528385,33095680,7237,0.008228943007998169,379.74,2.4862773418426514,0.0003,4573,0.2,10090,0.1473907470703125,4979.7513892,-36.14094181060791,-0.21461673080921173,-0.02050905431387946,1010,,
0.9810014963150024,0.017909208,33423360,7237,0.013112051365897059,368.38,2.529534101486206,0.0003,4617,0.2,10190,0.156884765625,4634.2444341,-36.33744106292725,-0.21369820833206177,-0.020070396491792052,1020,,
0.9820472002029419,0.018018413,33751040,7238,0.01385786454193294,370.74,2.5582993030548096,0.0003,4662,0.2,10290,0.148779296875,4643.21387114,-36.518392372131345,-0.21527719497680664,-0.019846417626831682,1030,,
0.9830368757247925,0.01725314,34000000,,0.011536841699853539,,2.5899600982666016,0.0003,,0.2,10370,0.1510345458984375,,-36.666910552978514,-0.21592703461647034,-0.01933895651018247,,407.4,5476.071882741153
0.9807993173599243,0.01804078,34078720,7238,0.013354406272992492,370.72,2.595640182495117,0.0003,4708,0.2,10390,0.1569427490234375,4721.344435769999,-36.686509895324704,-0.21616241335868835,-0.02034067255444825,1040,,
0.9857615232467651,0.018689679,34406400,7239,0.008770227106288076,388.03,2.63885760307312,0.0003,4752,0.2,10490,0.154669189453125,4860.04457305,-36.88952713012695,-0.21967363357543945,-0.021318151778541506,1050,,
0.9852307438850403,0.017338932,34734080,7239,0.009072518930770457,376.09,2.6738178730010986,0.0003,4797,0.2,10590,0.155413818359375,4877.39736242,-37.08359146118164,-0.21971029043197632,-0.02015237742452882,1060,,
0.9803255200386047,0.018085858,35000000,,0.012656505079939961,,2.710902214050293,0.0003,,0.2,10680,0.1509613037109375,,-37.25249557495117,-0.2199164628982544,-0.020570915541611612,,399.6,5341.746666239761
0.982531726360321,0.018646136,35061760,7239,0.012342653470113873,372.68,2.7107574939727783,0.0003,4843,0.2,10690,0.151141357421875,4806.52810105,-37.26862773895264,-0.21831053495407104,-0.019688493694411592,1070,,
0.9767938256263733,0.018206667,35389440,7240,0.015785123175010084,376.47,2.7475905418395996,0.0003,4888,0.2,10790,0.153741455078125,4775.37678169,-37.47860984802246,-0.22088408470153809,-0.0197548906551674,1080,,
0.981774091720581,0.018956661,35717120,7241,0.012267257925122977,377.47,2.7858049869537354,0.0003,4932,0.2,10890,0.1635986328125,4810.44080502,-37.673817825317386,-0.22185665369033813,-0.020890635973773896,1090,,
0.9844754934310913,0.017256018,36000000,,0.009832036495208741,,2.8261027336120605,0.0003,,0.2,10980,0.1505096435546875,,-37.86902198791504,-0.224236398935318,-0.02059503557975404,,402.0,5528.235262951255
