rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward
4450.971621329999,2921,9960,4721376,1616,796.14,-2.973426342010498,588921,0.0010078467894345522,0.0003,0.01103183627128601,-7.5875630378723145,,
2985.3272275499994,2922,9970,4723720,1616,513.86,4.452092170715332,589214,0.0010352199897170067,0.0003,0.018033578991889954,-7.6840500831604,,
3200.6702263999996,2925,9980,4728288,1616,543.39,4.710625171661377,589785,0.0010836976580321789,0.0003,0.014278585091233253,-7.9300737380981445,,
3281.7648186,2928,9990,4733240,1616,552.34,-3.9378275871276855,590404,0.0011099660769104958,0.0003,0.011963412165641785,-7.643853187561035,,
2215.02511721,2929,10000,4734448,1616,326.27,7.239940643310547,590555,0.0011238284641876817,0.0003,0.01747872307896614,-8.056232452392578,,
1811.3604544,2930,10010,4736632,1616,259.86,-2.058114528656006,590828,0.0011638309806585312,0.0003,0.012362463399767876,-8.111391067504883,,
1678.1522921299998,2931,10020,4738408,1616,233.76,0.5572056770324707,591050,0.0011825893307104707,0.0003,0.01384103111922741,-7.7978010177612305,,
1759.2291666200001,2932,10030,4740832,1616,235.79,2.2970399856567383,591353,0.0011896148789674044,0.0003,0.014588238671422005,-8.216373443603516,,
2022.51523312,2935,10040,4744824,1616,259.81,6.579328536987305,591852,0.0012588663958013058,0.0003,0.014942828565835953,-8.357406616210938,,
2095.4344717700005,2936,10050,4746272,1616,262.17,-7.5726704597473145,592033,0.0012915568659082055,0.0003,0.02270391955971718,-8.295080184936523,,
2244.43695445,2938,10060,4749584,1616,274.62,-2.932682991027832,592447,0.0013829232193529606,0.0003,0.015869008377194405,-8.456764221191406,,
2439.55700713,2940,10070,4753544,1616,294.74,-0.96158766746521,592942,0.0014910210156813264,0.0003,0.01781127229332924,-8.602306365966797,,
2484.22174038,2942,10080,4757392,1616,295.03,-3.909775972366333,593423,0.0015011848881840706,0.0003,0.04098597541451454,-8.759318351745605,,
2673.3122954399996,2965,10090,4794656,1616,343.8,-0.42812877893447876,598081,0.0022254965733736753,0.0003,0.03382064029574394,-10.94304084777832,,
3187.9649702699994,2967,10100,4796728,1616,463.59,-5.013134956359863,598340,0.002215377753600478,0.0003,0.15939262509346008,-11.429773330688477,,
3113.5895669,2967,10110,4797760,1616,456.0,8.182971954345703,598469,0.002236093394458294,0.0003,0.031275615096092224,-11.83067512512207,,
3240.17916899,2968,10120,4798872,1616,491.85,5.280021667480469,598608,0.002256946638226509,0.0003,0.03998175263404846,-11.964824676513672,,
3020.05239174,2969,10130,4799968,1616,471.54,0.4460182785987854,598745,0.00222199410200119,0.0003,0.031790561974048615,-12.3095703125,,
3001.81549946,2970,10140,4801656,1616,492.0,1.6056004762649536,598956,0.002307591727003455,0.0003,0.04904326796531677,-12.069293022155762,,
3151.9140981799997,2971,10150,4804824,1616,535.27,1.0938869714736938,599352,0.002372483490034938,0.0003,0.1703183948993683,-12.122349739074707,,
3760.13563326,2994,10160,4841712,1616,672.29,1.1961945295333862,603963,0.002098760101944208,0.0003,0.031161272898316383,-14.152386665344238,,
4281.88616965,2997,10170,4846328,1616,785.94,0.41518181562423706,604540,0.0020490584429353476,0.0003,0.03611573576927185,-14.193406105041504,,
4609.339367490001,2997,10180,4847416,1616,863.59,0.01002413034439087,604676,0.002028729533776641,0.0003,0.036434102803468704,-14.292619705200195,,
4149.329843119999,2998,10190,4848208,1616,779.63,-3.6426491737365723,604775,0.002045810455456376,0.0003,0.036998845636844635,-14.349115371704102,,
3411.6131009900005,2999,10200,4849208,1616,633.0,4.210111618041992,604900,0.0020348061807453632,0.0003,0.03245050460100174,-14.34050178527832,,
3419.24276614,2999,10210,4850416,1616,634.38,-2.8885769844055176,605051,0.002073618583381176,0.0003,0.0426880344748497,-14.466262817382812,,
3437.20929362,3000,10220,4851704,1616,634.07,3.830315589904785,605212,0.0020098593086004257,0.0003,0.03173717111349106,-14.461430549621582,,
3442.4262616700003,3001,10230,4853640,1616,634.79,-0.8990510702133179,605454,0.002054879441857338,0.0003,0.03611752390861511,-13.883485794067383,,
3291.9492134999996,3002,10240,4855400,1616,606.3,-2.6079113483428955,605674,0.0020660150330513716,0.0003,0.02636442705988884,-14.69880199432373,,
3094.18012113,3003,10250,4856752,1616,568.73,-2.541485071182251,605843,0.0020349049009382725,0.0003,0.03790326416492462,-14.513578414916992,,
